Nombre,Precio,Stock,Descripcion,CategoriaId,SKU,Imagen
Aceite de Oliva Extra Virgen,25.50,100,Aceite de primera presión en frío de origen español,1,AOL-001,
Sal Marina Fina,3.50,200,Sal marina sin refinar de las costas peruanas,1,SAL-001,
Pimienta Negra Molida,8.90,150,Pimienta negra recién molida de alta calidad,1,PIM-001,
Azúcar Blanca Refinada,4.20,300,Azúcar refinada de caña de azúcar,1,AZU-001,
Harina de Trigo,5.80,250,Harina de trigo todo uso para repostería,1,HAR-001,
Arroz Blanco,12.50,180,Arroz blanco grano largo de primera calidad,1,ARR-001,
Fideos Espagueti,6.30,220,Pasta italiana tipo espagueti,1,FID-001,
Leche Evaporada,4.90,160,Leche evaporada entera en lata,2,LEC-001,
Mantequilla,8.50,90,Mantequilla sin sal de origen nacional,2,MAN-001,
Queso Fresco,15.80,70,Queso fresco artesanal,2,QUE-001,
Tomate,3.20,500,Tomate fresco de la sierra,4,TOM-001,
Cebolla Roja,2.80,400,Cebolla roja nacional,4,CEB-001,
Ajo,6.50,120,Ajo fresco en cabeza,4,AJO-001,
Papa Blanca,4.50,350,Papa blanca de la sierra peruana,4,PAP-001,
Zanahoria,3.80,280,Zanahoria fresca y crujiente,4,ZAN-001,
